,Drama,Comedy,Crime,Action,Thriller,Romance,Animation,Family,Mystery,Adventure,Horror,Fantasy,Action & Adventure,Sci-Fi & Fantasy,Documentary,History,Science Fiction,War,Music,Soap,Reality,Kids,War & Politics,Western,TV Movie,Talk,News
Drama,0,2930,2028,1098,1393,1992,492,681,1173,417,323,370,669,635,75,853,217,546,254,340,16,37,209,116,109,5,4
Comedy,2930,0,628,711,231,1339,1000,1143,237,568,228,476,304,393,53,68,191,54,205,106,50,189,18,57,74,105,30
Crime,2028,628,0,777,1060,103,62,55,757,103,86,26,217,52,88,49,32,13,14,21,6,2,21,23,37,1,3
Action,1098,711,777,0,1016,236,287,152,109,817,140,372,0,0,8,197,502,206,8,0,0,0,0,61,39,0,0
Thriller,1393,231,1060,1016,0,179,27,16,598,185,611,82,0,0,1,77,215,82,14,0,0,0,0,30,46,0,0
Romance,1992,1339,103,236,179,0,85,143,50,128,53,182,0,0,1,120,44,84,124,0,0,0,0,31,26,0,0
Animation,492,1000,62,287,27,85,0,763,155,532,48,463,586,625,22,16,215,10,47,1,1,232,47,11,35,2,0
Family,681,1143,55,152,16,143,763,0,46,635,16,497,97,94,30,8,100,4,74,59,26,146,8,15,61,11,1
Mystery,1173,237,757,109,598,50,155,46,0,76,310,55,180,228,14,16,73,4,4,24,8,12,17,8,29,2,1
Adventure,417,568,103,817,185,128,532,635,76,0,63,581,0,0,11,120,366,72,28,0,0,0,0,68,51,0,0
Horror,323,228,86,140,611,53,48,16,310,63,0,166,0,0,7,15,146,19,12,0,0,0,0,7,18,0,0
Fantasy,370,476,26,372,82,182,463,497,55,581,166,0,0,0,2,28,126,11,45,0,0,0,0,4,40,0,0
Action & Adventure,669,304,217,0,0,0,586,97,180,0,0,0,0,641,8,0,0,0,0,14,10,115,98,4,0,0,0
Sci-Fi & Fantasy,635,393,52,0,0,0,625,94,228,0,0,0,641,0,3,0,0,0,0,14,2,112,45,3,0,1,1
Documentary,75,53,88,8,1,1,22,30,14,11,7,2,8,3,0,51,2,17,95,0,37,4,23,1,16,8,22
History,853,68,49,197,77,120,16,8,16,120,15,28,0,0,51,0,3,292,44,0,0,0,0,15,11,0,0
Science Fiction,217,191,32,502,215,44,215,100,73,366,146,126,0,0,2,3,0,12,5,0,0,0,0,5,29,0,0
War,546,54,13,206,82,84,10,4,4,72,19,11,0,0,17,292,12,0,4,0,0,0,0,6,8,0,0
Music,254,205,14,8,14,124,47,74,4,28,12,45,0,0,95,44,5,4,0,0,0,0,0,2,19,0,0
Soap,340,106,21,0,0,0,1,59,24,0,0,0,14,14,0,0,0,0,0,0,0,11,2,0,0,0,0
Reality,16,50,6,0,0,0,1,26,8,0,0,0,10,2,37,0,0,0,0,0,0,0,2,0,0,29,3
Kids,37,189,2,0,0,0,232,146,12,0,0,0,115,112,4,0,0,0,0,11,0,0,1,2,0,1,1
War & Politics,209,18,21,0,0,0,47,8,17,0,0,0,98,45,23,0,0,0,0,2,2,1,0,0,0,1,3
Western,116,57,23,61,30,31,11,15,8,68,7,4,4,3,1,15,5,6,2,0,0,2,0,0,3,0,0
TV Movie,109,74,37,39,46,26,35,61,29,51,18,40,0,0,16,11,29,8,19,0,0,0,0,3,0,0,0
Talk,5,105,1,0,0,0,2,11,2,0,0,0,0,1,8,0,0,0,0,0,29,1,1,0,0,0,32
News,4,30,3,0,0,0,0,1,1,0,0,0,0,1,22,0,0,0,0,0,3,1,3,0,0,32,0
