genre,count,normalized
Drama,13441,1.0
Comedy,8195,0.606893967778194
Crime,3427,0.24960659423004872
Action,3264,0.23739228175346572
Thriller,3163,0.22982390408392656
Romance,3058,0.2219557886849007
Animation,2383,0.17137504683402024
Family,2191,0.15698763581865868
Mystery,2040,0.14567253653053577
Adventure,1935,0.13780442113150992
Horror,1485,0.10408392656425627
Fantasy,1460,0.1022105657549644
Action & Adventure,1307,0.09074559760209816
Sci-Fi & Fantasy,1263,0.08744848257774447
Documentary,1106,0.07568377669539153
History,1049,0.07141251405020607
Science Fiction,1021,0.06931434994379918
War,722,0.04690895466466841
Music,549,0.03394529786436868
Soap,417,0.024053952791307606
Reality,382,0.02143124765829899
Kids,313,0.01626077182465343
War & Politics,279,0.013713001124016485
Western,278,0.013638066691644812
TV Movie,266,0.012738853503184714
Talk,211,0.008617459722742601
News,96,0.0
