id,media_type,title,original_title,release_date,vote_average,vote_count,popularity,overview,original_language,genres,poster_url,cast,trailer_url,scraped_at,category,popularity_normalized,rating_normalized,page_batch
1226863,movie,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,2026-04-01,6.728,753,443.9285,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",en,"Family, Comedy, Adventure, Fantasy, Animation",https://image.tmdb.org/t/p/w500/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key, Benny Safdie, Donald Glover, Glen Powell",https://www.youtube.com/watch?v=En5QZmL5R1s,2026-05-08,new_release,0.6937294784800597,0.6728,0
1007757,movie,Swapped,Swapped,2026-05-01,7.93,93,409.3611,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",en,"Adventure, Animation, Family, Fantasy",https://image.tmdb.org/t/p/w500/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,"Michael B. Jordan, Juno Temple, Tracy Morgan, Cedric the Entertainer, Justina Machado, Nate Torrence, Camden Brooks, Tata Vega",https://www.youtube.com/watch?v=glgmAwRDP8s,2026-05-08,new_release,0.6396998244881059,0.7929999999999999,0
1318447,movie,Apex,Apex,2026-04-24,6.421,718,369.7562,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,en,"Action, Thriller",https://image.tmdb.org/t/p/w500/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,"Charlize Theron, Taron Egerton, Eric Bana, Caitlin Stasey, Bessie Holland, Zachary Garred, Matt Whelan, Rob Carlton",https://www.youtube.com/watch?v=kgv8jf_8dm0,2026-05-08,new_release,0.5777964402767989,0.6421,0
936075,movie,Michael,Michael,2026-04-24,7.558,550,197.8728,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",en,"Music, Drama",https://image.tmdb.org/t/p/w500/3Qud19bBUrrJAzy0Ilm8gRJlJXP.jpg,"Jaafar Jackson, Colman Domingo, Nia Long, Juliano Krue Valdi, KeiLyn Durrel Jones, Miles Teller, Kendrick Sampson, Joseph David-Jones",https://www.youtube.com/watch?v=k-YAcjaLuSI,2026-05-08,new_release,0.30913866940133233,0.7558,0
1314481,movie,The Devil Wears Prada 2,The Devil Wears Prada 2,2026-05-01,6.761,347,173.3912,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",en,"Comedy, Drama",https://image.tmdb.org/t/p/w500/xTI42pmsP5EDnvsNJPEDubwWBQO.jpg,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Justin Theroux, Kenneth Branagh, Simone Ashley, Lucy Liu",https://www.youtube.com/watch?v=PMd1at7OwiE,2026-05-08,new_release,0.2708733565004657,0.6761,0
931285,movie,Mortal Kombat II,Mortal Kombat II,2026-05-08,7.3,35,124.7123,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",en,"Action, Fantasy, Adventure",https://image.tmdb.org/t/p/w500/lIsMeDbwntNXSUVHmWMMRXEZOVc.jpg,"Karl Urban, Adeline Rudolph, Jessica McNamee, Ludi Lin, Mehcad Brooks, Josh Lawson, Tati Gabrielle, Lewis Tan",https://www.youtube.com/watch?v=zva2PQ-ud5Y,2026-05-08,new_release,0.1947870982424271,0.73,0
1414413,movie,Brothers Under Fire,Brothers Under Fire,2026-04-17,6.237,19,100.567,"Captain Jordan Wright's squadron on leave for a wedding in Mexico encounters a murderous cartel. As Jordan tries to lead survivors to safety, war erupts between his squad and the cartel, forcing him into a battle to save his men.",en,"Action, Thriller, Mystery, Drama",https://image.tmdb.org/t/p/w500/e5EKqk9V7N3w0WvYFhl6wSVrMp0.jpg,"Kiefer Sutherland, Tommy Martinez, Ashton Sanders, Solly McLeod, Laura Osma, Omar Chaparro, Orlando Pineda, Laird Akeo",https://www.youtube.com/watch?v=DrG4QkBpqMc,2026-05-08,new_release,0.15704743010042269,0.6237,0
1325734,movie,The Drama,The Drama,2026-04-03,7.0,643,101.6698,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,en,"Romance, Comedy, Drama",https://image.tmdb.org/t/p/w500/ikcNOWB6Qo1ER1H1BJL6Vf0W22s.jpg,"Zendaya, Robert Pattinson, Mamoudou Athie, Alana Haim, Jordyn Curet, Hailey Benton Gates, Michael Abbott Jr., Hannah Gross",https://www.youtube.com/watch?v=0ZDzsH3XGFA,2026-05-08,new_release,0.15877113227132147,0.7,0
1304313,movie,Lee Cronin's The Mummy,Lee Cronin's The Mummy,2026-04-17,6.724,185,41.8662,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",en,"Horror, Mystery",https://image.tmdb.org/t/p/w500/8L8efNkz8rUmwR7sV0g3vnC9yjn.jpg,"Jack Reynor, Laia Costa, May Calamawy, Natalie Grace, Shylo Molina, Billie Roy, Veronica Falcón, Hayat Kamille",https://www.youtube.com/watch?v=6wbMsDmJLCs,2026-05-08,new_release,0.06529670794455081,0.6724,0
1430077,movie,Hokum,Hokum,2026-05-01,7.1,22,38.9705,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",en,Horror,https://image.tmdb.org/t/p/w500/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg,"Adam Scott, Peter Coonan, David Wilmot, Florence Ordesh, Will O'Connell, Michael Patric, Brendan Conroy, Austin Amelio",https://www.youtube.com/watch?v=qU_i5e48KzQ,2026-05-08,new_release,0.060770661176078176,0.71,0
