Title,Cinema Name,Friday 08,Monday 11,Saturday 09,Sunday 10,Tuesday 12
A Legend,Cairo Festival Scene Cinema,"07:30 PM, 10:00 PM, 12:30 AM","07:30 PM, 10:00 PM, 12:30 AM","07:30 PM, 10:00 PM, 12:30 AM","07:30 PM, 10:00 PM, 12:30 AM","07:30 PM, 10:00 PM, 12:30 AM"
Alhayat Baed Siham,Zawya Cinema,02:00 PM,,,,
Bershama,AGAMY STAR Cinema,"01:00 PM, 03:00 PM, 06:00 PM, 10:00 AM","01:00 PM, 03:00 PM, 06:00 PM, 10:00 AM","01:00 PM, 03:00 PM, 06:00 PM, 10:00 AM","01:00 PM, 03:00 PM, 06:00 PM, 10:00 AM","01:00 PM, 03:00 PM, 06:00 PM, 10:00 AM"
Bershama,Al Noras Theater Cinema,"03:00 PM, 05:00 PM, 07:15 PM, 09:30 PM","03:00 PM, 05:00 PM, 07:15 PM, 09:30 PM","03:00 PM, 05:00 PM, 07:15 PM, 09:30 PM","03:00 PM, 05:00 PM, 07:15 PM, 09:30 PM","03:00 PM, 05:00 PM, 07:15 PM, 09:30 PM"
Bershama,Al-Rehab Theater Cinema,"04:00 PM, 10:30 AM, 12:00 AM","04:00 PM, 10:30 AM, 12:00 AM","04:00 PM, 10:30 AM, 12:00 AM","04:00 PM, 10:30 AM, 12:00 AM","04:00 PM, 10:30 AM, 12:00 AM"
Bershama,Alex. Metro Cinema,"02:30 PM, 04:30 PM, 06:30 PM, 09:30 PM, 10:30 AM, 12:00 AM, 12:30 PM","02:30 PM, 04:30 PM, 06:30 PM, 09:30 PM, 10:30 AM, 12:00 AM, 12:30 PM","02:30 PM, 04:30 PM, 06:30 PM, 09:30 PM, 10:30 AM, 12:00 AM, 12:30 PM","02:30 PM, 04:30 PM, 06:30 PM, 09:30 PM, 10:30 AM, 12:00 AM, 12:30 PM","02:30 PM, 04:30 PM, 06:30 PM, 09:30 PM, 10:30 AM, 12:00 AM, 12:30 PM"
Bershama,Alshab Al-Bahr Al-Aazam Lib...,"02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM"
Bershama,Alshab Al-Qanater Charity ...,"02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM"
Bershama,Alshab Kasr Cinema Cinema,"02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM"
Bershama,Alshab Qena Cinema,"02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM"
Bershama,Alshab Sadat Cinema,"02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM"
Bershama,Alshab Sharm El-Shaikh Cinema,"02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM","02:00 PM, 04:00 PM, 06:00 PM, 10:00 AM, 12:00 PM"
Bershama,Alshab Zagazig Cinema,"02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM","02:00 PM, 06:00 PM, 10:00 AM"
