id,media_type,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,original_language,genres,poster_url,backdrop_url,category,director,cast,trailer_url,production_countries,runtime,budget,revenue,tagline,keywords,streaming,first_review,scraped_at,popularity_norm,vote_average_norm,popularity_std,vote_average_std
273240,tv,Off Campus,Off Campus,2026-05-13,2026.0,9.133,290,670.4306,"Hannah Wells tutors hockey captain Garrett Graham to win over her crush. Their deal becomes real connection as they face their pasts. Friends Logan, Dean, Tucker, and Allie navigate college life and love.",en,Drama,https://image.tmdb.org/t/p/w500/cbODFqkcmRgrYH8NkG4Q4Hcg8Z1.jpg,https://image.tmdb.org/t/p/w1280/52sp0vPhLOWrZ1QoZIWiapronM.jpg,"('/tv/popular', 'popular', {})","Gina Fattore, Louisa Levy","Ella Bright, Belmont Cameli, Mika Abdalla, Stephen Kalyn, Jalen Thomas Brooks, Antonio Cipriano",https://www.youtube.com/watch?v=wAozjf2frxw,US,,,,Love was never part of the deal.,"based on novel or book, self-discovery, love, romance","Amazon Prime Video, Amazon Prime Video with Ads, Amazon Prime Video Free with Ads",,2026-05-29,0.9699795604224846,0.9132999999999999,24.786253992472922,1.5298981251046386
76479,tv,The Boys,The Boys,2019-07-25,2019.0,8.459,12745,691.1795,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,en,"Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w500/in1R2dDc421JxsoRWaIIAqVI2KE.jpg,https://image.tmdb.org/t/p/w1280/bq28ajZaoMyzEIm6REelqyqtEDZ.jpg,"('/tv/popular', 'popular', {})",Eric Kripke,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty, Laz Alonso, Chace Crawford, Tomer Capone, Karen Fukuhara",https://www.youtube.com/watch?v=tcrNsIaQkb4,US,,,,Never meet your heroes.,"corruption, satire, superhero, based on comic, gore, tragedy, evil corporation, super power, superhero team, violence, action","Amazon Prime Video, Amazon Prime Video with Ads, Amazon Prime Video Free with Ads","Wonderful premise, beautiful pictures, handsome, good and sexy actors, what could go wrong?

Unnecessary, stupid decisions.
Everywhere.

The typical ""say something!"" \*stuttering and stammering* to introduce some side-story, or secret personas where the only thing to change is the hero's suit, or a wimpy protagonist who has way too many scenes of indecisiveness, long and drawn out dialogues (",2026-05-29,1.0,0.8459,25.569517802199528,0.9749337222758471
124364,tv,FROM,FROM,2022-02-20,2022.0,8.418,3370,665.47,"Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.",en,"Mystery, Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w500/pRtJagIxpfODzzb0T0NAvZSzErC.jpg,https://image.tmdb.org/t/p/w1280/6gN8DYnIEln8v7OhRy61c57w0Xy.jpg,"('/tv/popular', 'popular', {})",John Griffin,"Harold Perrineau, Catalina Sandino Moreno, Ricky He, David Alpay, Hannah Cheramy, Pegah Ghafoori, Simon Webster, Elizabeth Saunders",https://www.youtube.com/watch?v=pDHqAj4eJcM,US,,,,,"sheriff, small town, forest, priest, gore, trapped, folk horror, supernatural horror, lovecraftian, suspense, violence, horror","fuboTV, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus, Philo, Spectrum On Demand","As a fan of “Lost,” I was intrigued when I heard that some of the same people were involved in the new EPIX series “From.” Unfortunately, the show doesn’t live up to the expectations set by “Lost.” While it starts off incredibly promising and has a unique feel, the lazy writing and subpar acting hold it back as the season progresses.

The unforgiving gore and genuine horror element that the show",2026-05-29,0.9628023417473633,0.8417999999999999,24.59899305553025,0.9411747600859648
220102,tv,Spider-Noir,Spider-Noir,2026-05-25,2026.0,8.926,149,420.8728,"Ben Reilly, an aging and down on his luck private investigator in 1930s New York, is forced to grapple with his past life as the city's one and only superhero.",en,"Crime, Mystery, Drama",https://image.tmdb.org/t/p/w500/oD8WSVqz84ZRfelkr7JPeJwR9Iv.jpg,https://image.tmdb.org/t/p/w1280/mkwVoyP9bFSmfVqU8FJyem52hVR.jpg,"('/tv/popular', 'popular', {})",Oren Uziel,"Nicolas Cage, Lamorne Morris, Li Jun Li, Karen Rodriguez, Abraham Popoola, Jack Huston, Brendan Gleeson",https://www.youtube.com/watch?v=e5QW457407U,US,,,,With no power comes no responsibility.,"new york city, detective, superhero, based on comic, private investigator, black and white, period drama, 1930s","Amazon Prime Video, Philo, Amazon Prime Video with Ads, Amazon Prime Video Free with Ads",,2026-05-29,0.6089081370700321,0.8926000000000001,15.365533222938602,1.3594565355118207
2354,tv,Home and Away,Home and Away,1988-01-18,1988.0,6.3,77,385.9366,"Home and Away is set in the fictional town of Summer Bay, a coastal town in New South Wales, and follows the personal and professional lives of the people living in the area. The show initially focused on the Fletcher family, Pippa and Tom Fletcher and their five foster children Frank Morgan, Carly Morris, Steven Matheson, Lynn Davenport and Sally Keating, who would go on to become one of the show's longest-running characters. The show also originally and currently focuses on the Stewart family. Home and Away had proved popular when it premiered in 1988 and had risen to become a hit in Australia, and after only a few weeks, the show tackled its first major and disturbing storyline, the rape of Carly Morris; it was one of the first shows to feature such storylines during the early timeslot. H&A has tackled many adult-themed and controversial storylines; something rarely found in its restricted timeslot.",en,"Drama, Soap",https://image.tmdb.org/t/p/w500/vn0eKMiG69bhQtxb7qLRo8SSqu5.jpg,https://image.tmdb.org/t/p/w1280/pmAzkQJa993nIgPqFtVmOhStHXg.jpg,"('/tv/popular', 'popular', {})",Alan Bateman,"Ray Meagher, Ada Nicodemou, Emily Symons, Shane Withington, James Stewart, Ethan Browne, Nicholas Cartwright, Adam Rowland",,AU,22.0,,,,"beach, seaside town, new south wales, soap, drama",Sky Go,,2026-05-29,0.5583608752311877,0.63,14.046703737550427,-0.8027638232840368
2734,tv,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit,1999-09-20,1999.0,7.943,4218,335.3636,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",en,"Crime, Drama, Mystery",https://image.tmdb.org/t/p/w500/iofokHZoUB4Qhik4PflvJl8TT6a.jpg,https://image.tmdb.org/t/p/w1280/obtdxPgmfykYwVnvuYXC5f2xKlQ.jpg,"('/tv/popular', 'popular', {})",Dick Wolf,"Mariska Hargitay, Ice-T, Kelli Giddish, Peter Scanavino, Aimé Donna Kelly, Kevin Kane, Corey Cott",,US,,,,Hope in the darkness.,"detective, sexual abuse, sex scandal, domestic abuse, sexual violence, domestic violence, criminal, sex trafficking, interrogation, district attorney, courtroom, assistant district attorney, sex crime, sexual assault, sex trade","Hulu, Peacock Premium, YouTube TV, NBC, USA Network, Peacock Premium Plus","This series is a poster child for the way the US wants the world, to perceive its justice system.

Hard working, earnest police, backed by an imperfect but mostly well meaning, justice system. 

Of course, if you look behind the veil nothing could be further from the truth. The justice system and not just in the US, mind you is abusive and broken. More often than not failing victims and on a c",2026-05-29,0.4851895894881512,0.7943,12.137590452060417,0.5500648322763565
85552,tv,Euphoria,Euphoria,2019-06-16,2019.0,8.291,10721,292.0828,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.",en,Drama,https://image.tmdb.org/t/p/w500/aJrG7OkoTMPWG5c8opz8a93AZPY.jpg,https://image.tmdb.org/t/p/w1280/mez2Z3WqlPKNXpi7mWoiiE5guE9.jpg,"('/tv/popular', 'popular', {})",Sam Levinson,"Zendaya, Hunter Schafer, Sydney Sweeney, Jacob Elordi, Alexa Demie, Maude Apatow, Eric Dane, Martha Kelly",https://www.youtube.com/watch?v=UR4Pxgnm-GA,US,,,,May God have mercy.,"drug crime, sex scandal, attention deficit hyperactivity disorder (adhd), relationship problems, childhood trauma, sex addiction, addiction, love-hate relationship, drug rehabilitation, coming of age, teenage girl, female protagonist, drug use, sexual freedom, high school student","HBO Max Amazon Channel, Spectrum On Demand, HBO Max","It takes a few episodes to get going but it gets REALLY good. The fourth episode builds so much tension that I had to stop watching it to ask people what was going to happen because I got so worried. There are a lot of relatable and likeable characters. Nate's dad is actually really sweet, just very damaged; and Jules is a beautiful ray of goodness. My biggest criticism is that the editing could b",2026-05-29,0.42256898592523784,0.8291000000000001,10.503755198335384,0.8366043162295019
79744,tv,The Rookie,The Rookie,2018-10-16,2018.0,8.545,3257,280.2955,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he's met with skepticism from some higher-ups who see him as just a walking midlife crisis.",en,"Crime, Drama, Comedy",https://image.tmdb.org/t/p/w500/70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg,https://image.tmdb.org/t/p/w1280/6iNWfGVCEfASDdlNb05TP5nG0ll.jpg,"('/tv/popular', 'popular', {})",Alexi Hawley,"Nathan Fillion, Melissa O'Neil, Eric Winter, Alyssa Diaz, Mekia Cox, Richard T. Jones, Shawn Ashmore, Jenna Dewan",https://www.youtube.com/watch?v=8BPlx6eK1vc,US,,,,Never off duty.,"police chase, los angeles, california, police officer, police detective, street crime, lapd, police training, crime investigation, dramedy, police department, procedural, police drama, cautionary, united states of america (usa), patrol officer","Hulu, fuboTV, YouTube TV, Philo, Spectrum On Demand",Wow wow wow  thats all I can say I watched the premeire of this show and it was a all out blast this is not a show that takes itsself too seriously or jokes too much it's kinda in the middle just rhe way I love it hilarious and also kick-ass the guy from castle is upbeat and charming. As well I love love loved this show it was fantastic no doubt one of the falls best,2026-05-29,0.4055145913581982,0.8545,10.058788693875366,1.045745203942429
1416,tv,Grey's Anatomy,Grey's Anatomy,2005-03-27,2005.0,8.208,10907,278.9307,Follows the personal and professional lives of a group of doctors at Seattle's Grey Sloan Memorial Hospital.,en,Drama,https://image.tmdb.org/t/p/w500/hjJkrLXhWvGHpLeLBDFznpBTY1S.jpg,https://image.tmdb.org/t/p/w1280/jP0Rhj9OTPDAwQlHQwOLFDdeE8t.jpg,"('/tv/popular', 'popular', {})",Shonda Rhimes,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Caterina Scorsone, Camilla Luddington, Kevin McKidd, Kim Raver, Jason George",,US,,,,Begin again.,"seattle, washington, trauma, workplace, hospital, doctor, medical student, surgical interns, medical drama","Netflix, Hulu, fuboTV, YouTube TV, Netflix Standard with Ads, Spectrum On Demand",Worst show ever. Shonda needs to stop right NOW.,2026-05-29,0.4035399374760457,0.8208,10.007267965185418,0.7682630025280334
549,tv,Law & Order,Law & Order,1990-09-13,1990.0,7.314,687,267.9179,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",en,"Crime, Drama",https://image.tmdb.org/t/p/w500/haJ9eHytVO3H3JooMJG1DiWwDNm.jpg,https://image.tmdb.org/t/p/w1280/tc7canPSAn2X14hYi6Rl3gZm1o4.jpg,"('/tv/popular', 'popular', {})",Dick Wolf,"Reid Scott, Maura Tierney, Tony Goldwyn, Hugh Dancy, Odelya Halevi",https://www.youtube.com/watch?v=RzN8cPlcMTU,US,,,,Truth matters.,"new york city, police, lawyer, homicide detective, crime investigation, criminal law, legal drama, criminal justice system","Netflix, Hulu, Peacock Premium, YouTube TV, NBC, Philo",,2026-05-29,0.3876061242628506,0.7314,9.591538568265234,0.03215294892426465
