id,media_type,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,original_language,genres,poster_url,category,cast,trailer_url,production_countries,runtime,budget,revenue,tagline,first_review,scraped_at,award_type,award_year
1333100,movie,Attack on Titan: THE LAST ATTACK,劇場版「進撃の巨人」完結編 THE LAST ATTACK,2024-03-20,2024,8.71,188,6.2619,"A colossal-sized omnibus film bringing together the last two episodes of Attack on Titan in the franchise's first-ever theatrical experience. After venturing beyond the walls and separated from his comrades, Eren finds himself inspired by this new truth and plots the ""Rumbling,"" a terrifying plan to eradicate every living thing in the world. With the fate of the world hanging in the balance, a motley crew of Eren's former comrades and enemies scramble to halt his deadly mission. The only question is, can they stop him?",ja,"Animation, Action, Adventure, Drama",https://image.tmdb.org/t/p/w500/wgwldDDlTDDMrluOMkpSA8lyKjv.jpg,award,"Yuki Kaji, Yui Ishikawa, Marina Inoue, Hiroshi Kamiya, Yu Shimamura, Romi Park, Yoshimasa Hosoya, Kisho Taniyama",https://www.youtube.com/watch?v=3xNH23QkNpk,JP,145,0,21525687,See for yourself the end of their story.,"With the disillusioned “Eren” controlling the marauding “Titans” trampling everything in their path underfoot, it looks like an impossible task for the folks of “Marley” to thwart this “rumbling”. Maybe, though, “Armin” and “Mikasa” can find a way to thwart him by combining their skills and forcing mankind to reconcile their different factions and join forces too? It’s a conclusion to a series but",2026-05-08,Oscar,2024
129,movie,Spirited Away,千と千尋の神隠し,2001-07-20,2001,8.534,18236,29.8419,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",ja,"Animation, Family, Fantasy",https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,award,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi, Tatsuya Gashûin, Ryunosuke Kamiki, Yumi Tamai",https://www.youtube.com/watch?v=GAp2_0JJskk,JP,125,19000000,274925095,Beyond the tunnel was a mysterious town.,"One of the great ""masters"" of the anime art. Somehow, if I would personally associate ""Akira"" to ""self-destruction"", then this anime would be the opposite :)",2026-05-08,Oscar,2001
372058,movie,Your Name.,君の名は。,2016-08-26,2016,8.475,12469,25.9352,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",ja,"Animation, Romance, Drama",https://image.tmdb.org/t/p/w500/q719jXXEzOoYaps6babgKnONONX.jpg,award,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yuuki, Nobunaga Shimazaki, Kaito Ishikawa, Kanon Tani, Masaki Terasoma",https://www.youtube.com/watch?v=o4-URMnBOPU,JP,106,7500000,405320132,"Separated by distance, connected by fate.","I would never take it away from anyone, but I was underwhelmed.

_Final rating:★★ - Definitely not for me, but I sort of get the appeal._",2026-05-08,Oscar,2016
938567,movie,Teasing Master Takagi-san: The Movie,劇場版 からかい上手の高木さん,2022-06-10,2022,8.454,143,3.3455,"Takagi and Nishikata’s final summer in junior high is about to begin, and it’s already off to a heartwarming start! When the pair find an abandoned kitten, they decide to work together and take care of Hana, their adorable new companion until they can locate its missing mother.",ja,"Animation, Comedy, Romance",https://image.tmdb.org/t/p/w500/di0QJLTVfroK7W1D5V8i9QkFkMk.jpg,award,"Yuki Kaji, Rie Takahashi, Inori Minase, Konomi Kohara, Mao Ichimichi, Yui Ogura, Haruka Tomatsu, Jun Fukushima",https://www.youtube.com/watch?v=WCEnkmQyh9k,JP,73,0,2739967,,,2026-05-08,Oscar,2022
12477,movie,Grave of the Fireflies,火垂るの墓,1988-04-16,1988,8.441,6480,0.0133,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",ja,"Animation, Drama, War",https://image.tmdb.org/t/p/w500/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,award,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi, Masayo Sakai, Kozo Hashida, Kazumi Nozaki, Yoshio Matsuoka",https://www.youtube.com/watch?v=QZbcx0WNrMU,JP,89,3700000,842132,Why do fireflies have to die so soon?,"The terrible story of two orphaned Japanese kids during the ending of WWII.

Incredibly well told and totally moving, without using clichés. A must seen in the anime arena.",2026-05-08,Oscar,1988
641364,movie,Shooom's Odyssey,L'Odyssée de Choum,2019-12-24,2019,8.436,110,0.356,"Shooom, a baby owl, hatches just as a storm turns the bayou surrounding her tree upside down. No sooner has she fallen from her nest, then the little fledgling totters off into the mangrove, pushing a second egg from the brood along with her. Come hell or high water, she’s determined to find a mother… even if that mom turns out to be an alligator or a raccoon!",fr,"Animation, Family",https://image.tmdb.org/t/p/w500/R0cVg1hz5TmGCLbBt5xz74gcqg.jpg,award,"Oscar Pauleau, Thierry Desroses, Prune Bozo, Effie Rey",,FR,26,0,0,,,2026-05-08,Oscar,2019
4935,movie,Howl's Moving Castle,ハウルの動く城,2004-09-09,2004,8.386,11007,18.9969,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",ja,"Fantasy, Animation, Adventure",https://image.tmdb.org/t/p/w500/13kOl2v0nD2OLbVSHnHk8GUFEhO.jpg,award,"Chieko Baisho, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin, Ryunosuke Kamiki, Mitsunori Isaki, Yo Oizumi, Akio Otsuka",https://www.youtube.com/watch?v=ARCQf2CEr8k,JP,119,24000000,236049757,The two lived there.,Really good movie staging in a fictional center European country. The drawings are great and the story is as delicate as any other from Miyazaki.,2026-05-08,Oscar,2004
378064,movie,A Silent Voice: The Movie,映画 聲の形,2016-09-17,2016,8.384,4450,12.2679,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",ja,"Animation, Drama, Romance",https://image.tmdb.org/t/p/w500/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,award,"Miyu Irino, Saori Hayami, Aoi Yuuki, Kensho Ono, Yuki Kaneko, Yui Ishikawa, Megumi Han, Toshiyuki Toyonaga",https://www.youtube.com/watch?v=TQK9By9qQiw,JP,129,0,30819442,Sometimes the answer is as simple as learning to listen.,"**A second chance to fix the past mistake.**

This is the next best anime in the recent time after 'Your Name'. Not that you know this director very well, not at the international level. But with a film like this, she's going to be. This is another teen romance. Well, romance is not exactly a word that matches with what this film is about narrative, but there's no other way to describe its theme",2026-05-08,Oscar,2016
1218925,movie,Chainsaw Man - The Movie: Reze Arc,劇場版 チェンソーマン レゼ篇,2025-09-19,2025,8.318,831,28.2305,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",ja,"Animation, Action, Romance, Fantasy",https://image.tmdb.org/t/p/w500/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,award,"𝐉, Kikunosuke Toya, Tomori Kusunoki, Reina Ueda, Shogo Sakata, Karin Takahashi, Fairouz Ai, Natsuki Hanae",https://www.youtube.com/watch?v=GJ1jrCnm-t8,JP,99,4100000,174502910,"Lost Love, Flower, Chainsaw.","Need me a Makima 🙏.

I'm convinced MAPPA got some blackmail stuff on their employees because HOW THE FUCK did they animate these scenes cuh.

And I speak for **EVERYONE** when I say that **WE** will let Reze manipulate us and take advantage of us.
Imagine you clapping them crazy cheeks and right wen u boutta buss she whispers in yo ear, **_“BOOM!""_**. I would die the fuck right there. 😭😭😭

",2026-05-08,Oscar,2025
128,movie,Princess Mononoke,もののけ姫,1997-07-12,1997,8.322,8927,14.4889,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",ja,"Adventure, Fantasy, Animation",https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg,award,"Yoji Matsuda, Yuriko Ishida, Yuko Tanaka, Kaoru Kobayashi, Masahiko Nishimura, Tsunehiko Kamijô, Akihiro Miwa, Mitsuko Mori",https://www.youtube.com/watch?v=I1dHzoRl0sQ,JP,134,23500000,176506186,The fate of the world rests on the courage of one warrior.,Probably the best movie from Miyazaki. A mixture of old Japanese traditions with the story about the conflict between the industrial human being and the preservation of the Nature.,2026-05-08,Oscar,1997
526429,movie,Made in Abyss: Wandering Twilight,劇場版総集編【後編】メイドインアビス 放浪する黄昏,2019-01-18,2019,8.32,136,2.4644,Second compilation movie of the TV series which covers episodes 9-13. Riko and Reg descend to the third and fourth layer where Riko has her first experience of the Curse.,ja,"Animation, Adventure, Fantasy, Mystery, Science Fiction",https://image.tmdb.org/t/p/w500/ivEZMkRng0VvDuQUoU8nhtqcfwe.jpg,award,"Miyu Tomita, Mariya Ise, Shiori Izawa, Eri Kitamura, Sayaka Ohara, Aki Toyosaki, Mutsumi Tamura, Manami Numakura",https://www.youtube.com/watch?v=BdRiv8EYbgM,JP,105,0,0,,,2026-05-08,Oscar,2019
10494,movie,Perfect Blue,PERFECT BLUE,1998-02-28,1998,8.301,3155,11.909,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",ja,"Animation, Thriller",https://image.tmdb.org/t/p/w500/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg,award,"Junko Iwao, Rica Matsumoto, Shiho Niiyama, Masaaki Okura, Shinpachi Tsuji, Emiko Furukawa, Yosuke Akimoto, Yoku Shioya",https://www.youtube.com/watch?v=RrWausp8zDQ,JP,82,3000000,683666,"""excuse me... who are you?""","Just seen this on All Hallows' Eve. It's a bit old, but gold! I definitely have to rewatch this, because you just got to pay attention to 'know' what is happening and follow the story. I think you'd better understand/follow the story and that it will make more sense when you watch it a second time.

The whole movie experience was pretty much like every time you think you got it all figured out, ",2026-05-08,Oscar,1998
533514,movie,Violet Evergarden: The Movie,劇場版 ヴァイオレット・エヴァーガーデン,2020-09-18,2020,8.3,504,7.3169,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",ja,"Animation, Drama, Fantasy, Romance",https://image.tmdb.org/t/p/w500/bajajkoErDst0JxdFyBkABiF9rW.jpg,award,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu, Koki Uchiyama, Aya Endo, Minori Chihara",https://www.youtube.com/watch?v=BUfSen2rYQs,JP,140,0,20339624,,"This is like a Charles Dickens tale, told in awesome animation!",2026-05-08,Oscar,2020
620249,movie,The Legend of Hei,罗小黑战记,2019-08-27,2019,8.294,459,7.5745,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",zh,"Animation, Fantasy, Action",https://image.tmdb.org/t/p/w500/4jfbKKLpqts3i2h2obkrONcjTg1.jpg,award,"Shan Xin, Liu Mingyue, Hao Xianghai, Ding Dang, Yuntu Cao, Sheng Feng, Chen Siyu",https://www.youtube.com/watch?v=NC9M8QYRZpE,CN,102,0,48045728,One Small Spirit Will Determine the Fate of the World.,,2026-05-08,Oscar,2019
372754,movie,Dou kyu sei – Classmates,同級生,2016-02-20,2016,8.284,437,4.9362,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",ja,"Romance, Animation",https://image.tmdb.org/t/p/w500/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,award,"Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa, Yurino",https://www.youtube.com/watch?v=wFQTncSyukA,JP,61,0,1397526,"Sincerely, Slowly, Falling in Love.",,2026-05-08,Oscar,2016
820067,movie,The Quintessential Quintuplets Movie,映画 五等分の花嫁,2022-05-20,2022,8.279,439,6.88,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",ja,"Animation, Comedy, Romance",https://image.tmdb.org/t/p/w500/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,award,"Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura, Inori Minase, Natsumi Takamori, Satoshi Hino",https://www.youtube.com/watch?v=AYxCeeA3LaI,JP,136,0,17288993,,"The Go-Touban series has always focused more on the sisters and their relationships with each other than it ever does with the actual romance plots. Each of the girls has gotten sufficient development over the series (although some are better developed than others), and that's still the movie's main focus and where it excels. 

However, this had no right being over 2 hours long - a sign of poor ",2026-05-08,Oscar,2022
652837,movie,"Josee, the Tiger and the Fish",ジョゼと虎と魚たち,2020-12-25,2020,8.3,591,7.4473,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",ja,"Animation, Drama, Romance",https://image.tmdb.org/t/p/w500/z1D8xi9x4uEhyFruo7uEHXUMD4K.jpg,award,"Taishi Nakagawa, Kaya Kiyohara, Yume Miyamoto, Kazuyuki Okitsu, Lynn, Chiemi Matsutera, Kanji Obana, Shintarou Moriyama",https://www.youtube.com/watch?v=w6IsHL91aXo,JP,98,0,0,Together they can fly.,"Josee, The Tiger and The Fish tells a touching story of two dreamers facing personal and external challenges, brought to life with smooth animation and expressive voice acting. The film thoughtfully explores deep internal conflicts, such as Josee’s struggle for freedom and Tsuneo’s balancing of ambition and love, while also portraying strong supporting characters and tension from outside forces. I",2026-05-08,Oscar,2020
18491,movie,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,1997-07-19,1997,8.254,1841,9.6771,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",ja,"Animation, Science Fiction, Drama, Fantasy",https://image.tmdb.org/t/p/w500/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,award,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuko Miyamura, Fumihiko Tachiki, Miki Nagasawa, Takehito Koyasu, Hiro Yuuki",,JP,87,0,20563523,The fate of destruction is also the joy of rebirth.,"Evangelion: Shinji is completely useless and whimpers for 90 minutes straight

If you thought the series' ending was bad... This is somehow even worse!

I think Shinji is depressed and hates his father... we can't really know for sure from the 100 times he told us that. I wish they really pushed the message one more time to be sure. Quality ""deep"" writing and peak anime story telling!",2026-05-08,Oscar,1997
