country_iso,movie_count,series_count,total_count,total_norm
US,3463,1347,4810,1.0
IN,2176,195,2371,0.4928259513412352
FR,1573,433,2006,0.41692659596589726
DE,1237,321,1558,0.3237679351216469
JP,732,729,1461,0.3035974215013516
KR,633,581,1214,0.25223539197338324
IT,901,256,1157,0.24038261592846746
CN,512,525,1037,0.21542940320232898
GB,741,243,984,0.20440840091495113
SE,789,148,937,0.19463505926388022
TR,568,314,882,0.18319817009773343
BR,560,314,874,0.1815346225826575
PL,634,101,735,0.15263048450821376
DK,709,11,720,0.14951133291744645
ES,493,152,645,0.1339155749636099
RU,377,237,614,0.12746932834269079
NL,548,60,608,0.12622166770638385
TH,343,260,603,0.12518195050946143
FI,531,3,534,0.1108338531919318
NO,517,7,524,0.10875441879808692
BE,436,82,518,0.10750675816178
MX,180,259,439,0.09107922645040549
EG,375,28,403,0.08359326263256395
CA,226,89,315,0.06529423996672905
HK,301,6,307,0.06363069245165315
CZ,296,3,299,0.06196714493657725
RO,285,1,286,0.059263880224578916
PH,278,6,284,0.05884799334580994
HU,277,2,279,0.057808276148887505
SU,251,27,278,0.057600332709503016
XC,263,0,263,0.054481181118735705
IR,249,0,249,0.05156997296735288
ID,220,8,228,0.047203160740278645
IL,201,4,205,0.042420461634435434
TW,116,76,192,0.039717196922437095
CH,125,15,140,0.028904138074443753
AR,96,41,137,0.02828030775629029
AT,109,22,131,0.027032647119983363
UA,120,7,127,0.026200873362445413
CO,19,101,120,0.024745269286754003
AU,79,18,97,0.019962570180910792
PT,73,23,96,0.019754626741526306
SK,73,2,75,0.01538781451445207
LU,49,4,53,0.010813058847993346
QA,49,1,50,0.010189228529839884
IE,48,2,50,0.010189228529839884
SA,41,8,49,0.009981285090455396
VN,48,0,48,0.009773341651070909
SG,41,3,44,0.008941567893532959
CL,36,7,43,0.008733624454148471
MY,41,1,42,0.008525681014763984
AE,35,4,39,0.007901850696610521
LB,34,4,38,0.007693907257226035
BD,36,0,36,0.00727802037845706
GR,32,3,35,0.007070076939072572
BG,35,0,35,0.007070076939072572
ZA,22,10,32,0.00644624662091911
PS,30,0,30,0.0060303597421501355
MA,28,0,28,0.0056144728633811605
EE,27,0,27,0.005406529423996673
IS,26,0,26,0.0051985859846121855
NZ,22,3,25,0.004990642545227698
TN,24,0,24,0.0047826991058432106
JO,19,2,21,0.004158868787689748
LV,17,0,17,0.0033270950301517986
VE,8,9,17,0.0033270950301517986
YU,14,0,14,0.0027032647119983365
UY,12,2,14,0.0027032647119983365
DZ,13,0,13,0.002495321272613849
LT,12,0,12,0.0022873778332293615
HR,12,0,12,0.0022873778332293615
KZ,10,0,10,0.0018714909544603868
XG,7,2,9,0.0016635475150758993
PE,8,1,9,0.0016635475150758993
CY,9,0,9,0.0016635475150758993
RS,9,0,9,0.0016635475150758993
SY,5,2,7,0.0012476606363069245
KW,4,2,6,0.001039717196922437
AF,6,0,6,0.001039717196922437
MT,6,0,6,0.001039717196922437
IQ,6,0,6,0.001039717196922437
MC,6,0,6,0.001039717196922437
CU,5,0,5,0.0008317737575379496
MK,5,0,5,0.0008317737575379496
AN,5,0,5,0.0008317737575379496
BA,5,0,5,0.0008317737575379496
SI,4,1,5,0.0008317737575379496
BY,5,0,5,0.0008317737575379496
KH,5,0,5,0.0008317737575379496
DO,4,0,4,0.0006238303181534623
CD,4,0,4,0.0006238303181534623
GE,4,0,4,0.0006238303181534623
MD,4,0,4,0.0006238303181534623
PR,2,2,4,0.0006238303181534623
SD,3,0,3,0.0004158868787689748
ET,3,0,3,0.0004158868787689748
GH,3,0,3,0.0004158868787689748
NP,3,0,3,0.0004158868787689748
LI,3,0,3,0.0004158868787689748
PY,2,0,2,0.0002079434393844874
GT,2,0,2,0.0002079434393844874
AO,2,0,2,0.0002079434393844874
LK,1,1,2,0.0002079434393844874
YE,2,0,2,0.0002079434393844874
NA,2,0,2,0.0002079434393844874
AL,2,0,2,0.0002079434393844874
CI,2,0,2,0.0002079434393844874
UZ,2,0,2,0.0002079434393844874
EC,2,0,2,0.0002079434393844874
UG,1,0,1,0.0
AW,1,0,1,0.0
PK,1,0,1,0.0
XI,1,0,1,0.0
LY,1,0,1,0.0
BS,1,0,1,0.0
LA,1,0,1,0.0
RE,1,0,1,0.0
BW,1,0,1,0.0
JM,0,1,1,0.0
CG,1,0,1,0.0
TO,0,1,1,0.0
MR,1,0,1,0.0
FO,1,0,1,0.0
MO,1,0,1,0.0
TD,1,0,1,0.0
MM,1,0,1,0.0
AD,1,0,1,0.0
MU,1,0,1,0.0
WS,1,0,1,0.0
SN,1,0,1,0.0
TT,1,0,1,0.0
AM,1,0,1,0.0
MW,1,0,1,0.0
MZ,1,0,1,0.0
PA,1,0,1,0.0
MN,1,0,1,0.0
GL,1,0,1,0.0
