id,media_type,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,original_language,genres,poster_url,category,cast,trailer_url,production_countries,runtime,budget,revenue,tagline,first_review,scraped_at
27205,movie,Inception,Inception,2010-07-15,2010,8.372,39129,32.0986,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",en,"Action, Science Fiction, Adventure",https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,year_2010,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page, Dileep Rao, Cillian Murphy, Tom Berenger",https://www.youtube.com/watch?v=cdx31ak4KbQ,"GB, US",148,160000000,839030630,Your mind is the scene of the crime.,"When I first saw the trailer for this film, I knew that this would attract a lot of attention. Of course having Leonardo in the lead role helped a lot. 


From the trailer, I already know some things. Dreams. All about dreams. But what about dreams? Who are the other people? At first, I didn't really understand what was going on. It was all very confusing to me. But as the movie progresses, I s",2026-05-08
10138,movie,Iron Man 2,Iron Man 2,2010-04-28,2010,6.851,22300,22.8385,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",en,"Adventure, Action, Science Fiction",https://image.tmdb.org/t/p/w500/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,year_2010,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Mickey Rourke, Samuel L. Jackson, Clark Gregg",https://www.youtube.com/watch?v=BoohRoVA9WQ,US,124,200000000,623933331,"It's not the armor that makes the hero, but the man inside.","It was understood that the theaters would be sold out but when the three of us came there we just couldn't accept NO for an answer. So we were finally able to buy tickets BUT we were seated separately. It was fine though. The movie kept me entertained. Except for the guy near me who was snoring pretty loud, the movie was great.


Of course Robert Downey Jr was amazing as always. There might be ",2026-05-08
12444,movie,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,2010,7.734,20292,17.6213,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",en,"Adventure, Fantasy",https://image.tmdb.org/t/p/w500/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,year_2010,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter, Alan Rickman, Ralph Fiennes, Bill Nighy",https://www.youtube.com/watch?v=Su1LOpjvdZ4,"GB, US",146,250000000,954305868,Nowhere is safe.,I've been really looking forward to watching this film. Book 7 is my favorite Harry Potter book so being able to see it on film is really exciting. I was satisfied. I know I won't see everything that I read in the movie although there were some parts wherein I wished I saw it like the goodbye of the Dursleys to Harry. It made me tear up while reading the book but I didn't really see it in the film,2026-05-08
11324,movie,Shutter Island,Shutter Island,2010-02-14,2010,8.198,25738,16.4007,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",en,"Drama, Thriller, Mystery",https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,year_2010,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley",https://www.youtube.com/watch?v=qdPw9x9h5CY,US,138,80000000,294804195,Someone is missing.,Nice movie,2026-05-08
38757,movie,Tangled,Tangled,2010-11-24,2010,7.61,12333,16.6878,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",en,"Animation, Family, Adventure",https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg,year_2010,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins",https://www.youtube.com/watch?v=gsYKF8ecC8g,US,100,260000000,592461732,They're taking adventure to new lengths.,"Tangled main characters really remember Aladdin's. The chameleon character could have been more juicy and it also repeats with stubborn determination Disney's intent of making any other animal to behave like dogs.

All in all, it is a stereotypical Disney movie that nails the template but it does it so well that it is also really entertaining. In addition, they get to add some of the fresh chara",2026-05-08
20352,movie,Despicable Me,Despicable Me,2010-07-08,2010,7.257,16005,15.1086,"Gru is a supervillain determined to prove he’s the greatest by stealing the Moon. To pull off his plan, he adopts three orphaned girls—Margo, Edith, and Agnes—intending to use them as part of his scheme. However, as Gru bonds with the girls, his cold, villainous exterior begins to melt.",en,"Animation, Comedy, Crime, Family, Science Fiction",https://image.tmdb.org/t/p/w500/b1BT309QWjtFUlJPLmXmrcHOWEL.jpg,year_2010,"Steve Carell, Jason Segel, Miranda Cosgrove, Dana Gaier, Elsie Fisher, Russell Brand, Julie Andrews, Will Arnett",https://www.youtube.com/watch?v=zzCZ1W_CUoI,US,95,69000000,543284256,Superbad. Superdad.,"**Despicable Me's mischievous characters enhance and strengthen its heartwarming family-focused story.**

Despicable Me completely took me by surprise! Steve Carrell leads this heartwarmingly delightful, funny film with a fresh premise different from other kid's movies, hilariously lovable characters, and superb execution. Being one of my three-year-old's favorites, I have seen this movie 100 ti",2026-05-08
73861,movie,A Serbian Film,Srpski film,2010-01-06,2010,5.439,2204,12.4954,"Retired porn star Milos leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",sr,"Crime, Horror, Thriller",https://image.tmdb.org/t/p/w500/yIQqiw3Az5QYNHLCUoCTtxXH24G.jpg,year_2010,"Srđan 'Žika' Todorović, Sergej Trifunović, Jelena Gavrilović, Slobodan Beštić, Katarina Žutić, Anđela Nenadović, Ana Sakić, Lidija Pletl",https://www.youtube.com/watch?v=RcHq2W1dXRU,RS,104,0,0,Not all films have a happy ending,"Oh no, not another shock / exploitation film. It's just edgy trash that tries to traumatize the viewer. The movie has nothing new to offer that many other films have made with actual story included.

As the director said of the film ""modern-day colonialism via sexual exploitation of a poor country's human resource"".",2026-05-08
10193,movie,Toy Story 3,Toy Story 3,2010-06-16,2010,7.804,15658,14.3226,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",en,"Animation, Family, Comedy",https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,year_2010,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn, John Ratzenberger, Estelle Harris, Blake Clark",https://www.youtube.com/watch?v=2BlMNH1QTeE,US,102,200000000,1067316101,No toy gets left behind.,Great for the kids!,2026-05-08
38365,movie,Grown Ups,Grown Ups,2010-06-24,2010,6.4,6634,13.7676,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",en,Comedy,https://image.tmdb.org/t/p/w500/cQGM5k1NtU85n4TUlrOrwijSCcm.jpg,year_2010,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek Pinault, Maria Bello, Maya Rudolph",https://www.youtube.com/watch?v=Nk1ERmswxsY,US,102,80000000,271457606,Boys will be boys. . . some longer than others.,Great movie. This is how grown ups like to party. My family would fit right in with these guys.,2026-05-08
48650,movie,Room in Rome,Habitación en Roma,2010-05-07,2010,6.405,825,12.0143,"A hotel room in the center of Rome serves as the setting for Alba and Natasha, two sexy and recently acquainted women, to have a physical adventure that touches their very souls.",es,"Drama, Romance",https://image.tmdb.org/t/p/w500/w90ItYf9qagQKVEBr1uFxPomAtf.jpg,year_2010,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles, Laura Meizoso",https://www.youtube.com/watch?v=27gpqR5ADUs,"ES, FR",109,0,844281,A night of passion that will change their lives.,"Probably the worst movie I've watched from Julio Medem.

Room in Rome doesn't have such a powerful story. In spite of Medem's efforts in the script, it feels awkwardly artificial. The movie cutting is not good and the repetition of the same music is tiresome. Horrible, too, the opera singing dub lip done by Enrico Lo Verso. Not his fault but Medem's though.

Also, by far, the worst performance",2026-05-08
