id,media_type,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,original_language,genres,poster_url,category,cast,trailer_url,production_countries,runtime,budget,revenue,tagline,first_review,scraped_at,popularity_norm,vote_average_norm,popularity_std,vote_average_std
496243,movie,Parasite,기생충,2019-05-30,2019,8.494,20537,37.4945,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",ko,"Comedy, Thriller, Drama",https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,korean,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Jang Hye-jin, Park Myung-hoon",https://www.youtube.com/watch?v=bM9QabAojCg,KR,133,11363000,257591776,Act like you own the place.,"What makes ‘Parasite’ so satisfying is that it commits neither error. It’s an engrossing, stylish and near perfect movie, and its underlying themes go beyond merely pointing out class exploitation to challenge the logic of capital. Though he is often juggling a mosaic of characters, themes and social issues, Bong never eschews his anarchic impulses and dark humour. It’s a movie that should be seen",2026-05-08,0.05773962249925348,0.8493999999999999,0.41291341303438284,0.8954530894289023
1321179,movie,The King's Warden,왕과 사는 남자,2026-02-04,2026,7.1,15,29.8197,"In a remote mountain village of 15th-century Joseon, humble headman Heung-do hears a rumor that any village hosting an exiled nobleman will be blessed with abundance and fortune. Hoping to bring prosperity to his impoverished community, he eagerly submits a petition to host one—unaware that his guest is none other than the fallen monarch, deposed boy-king Danjong.",ko,"History, Drama",https://image.tmdb.org/t/p/w500/mpdOHyEzNuRSFsYXlHNjZahBSg2.jpg,korean,"Yoo Hai-jin, Park Ji-hoon, Yoo Ji-tae, Jeon Mi-do, Kim Min, Park Ji-hwan, Lee Jun-hyuk, Ahn Jae-hong",https://www.youtube.com/watch?v=bLNauSd-bqY,KR,117,6900000,111782570,"1457 Joseon, a story untold by history","Based on real events from Joseon history, this tells us the story of the enthusiastic efforts of village chief Um-Heung Do (Yoo Hae-jin) to improve the lot of his citizenry. When a hunting expedition goes quite bizarrely wrong for him, he finds himself in a neighbouring town where the people are doing rather better. Why? Well that’s because a previously high-ranking official from the government ha",2026-05-08,0.04573450623116966,0.71,0.2182051506543139,0.13536695340585012
1268127,movie,Humint,휴민트,2026-02-11,2026,7.287,115,28.2887,A South Korean agent hunts a drug ring in Russia and goes head-to-head with a North Korean operative — pulling both into peril and tangled secrets.,ko,"Thriller, Action, Drama",https://image.tmdb.org/t/p/w500/82bX2GK4PhaJQtfkTnfmd2P7erG.jpg,korean,"Zo In-sung, Park Jeong-min, Park Hae-joon, Shin Sae-kyeong, Robert Maaser, Jung Yoo-jin, Park Myung-shin, Lee Shin-ki",https://www.youtube.com/watch?v=n6scQ_ds0x8,KR,120,16000000,13207600,Intelligence gathering through human sources.,"Looks can be deceiving. At first inspection, ""Humint"" appears to be an exciting, action-packed spy thriller. Indeed, in the opening and closing scenes it is, but the lull between action and excitement takes up the majority of this film's length. In short, it's predominantly a rather depressing, uninteresting interpersonal tale that fails to engage with the viewer. 

In summary, a film that doesn",2026-05-08,0.04333967730970769,0.7287,0.17936396264890841,0.23732972775040606
269955,movie,Obsessed,인간중독,2014-05-14,2014,6.681,80,20.4582,"A secret, passionate affair happens in the summer of 1969 between Colonel Jin Pyeong, trapped in a loveless marriage with Soo Jin, and Jong Ga Heun, the Chinese-Korean wife of Captain Kyung Woo Jin.",ko,Drama,https://image.tmdb.org/t/p/w500/fetCtoAvZShCk1nqAWZFuKZschR.jpg,korean,"Song Seung-heon, Lim Ji-yeon, Cho Yeo-jeong, On Ju-wan, Yoo Hai-jin, Park Hyuk-kwon, Jang Yun-sil, Kim Hye-na",https://www.youtube.com/watch?v=40NSEn733iU,KR,132,0,0,"If i cannot see you, i can't even breathe…",,2026-05-08,0.031091011163719488,0.6681,-0.019294380052807463,-0.09309509178328801
639988,movie,No Other Choice,어쩔수가없다,2025-09-24,2025,7.518,1000,14.209,"After being laid off and humiliated by a ruthless job market, a veteran paper mill manager descends into violence in a desperate bid to reclaim his dignity.",ko,"Comedy, Crime, Thriller",https://image.tmdb.org/t/p/w500/sBpxTGLzKnvPSVtL5yQYpSxvKEb.jpg,korean,"Lee Byung-hun, Son Ye-jin, Park Hee-soon, Lee Sung-min, Yeom Hye-ran, Cha Seung-won, Oh Dal-su, Kim Woo-seung",https://www.youtube.com/watch?v=SK_DEabMNVg,"KR, FR",140,12200000,40223568,Would you kill for a job?,"FULL SPOILER-FREE REVIEW @ https://fandomwire.com/no-other-choice-review/

""No Other Choice proves to be a fantastic piece of art with superb tonal control and dedicated performances that solidify Park Chan-wook's return to the style that defines him.

It's a painfully entertaining analysis of a man driven to madness by corporate greed and social pressure, and a courageous, violent, hysterical",2026-05-08,0.021315854471361462,0.7518,-0.17783543301386534,0.3632837431172102
396535,movie,Train to Busan,부산행,2016-07-20,2016,7.748,8313,17.2302,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",ko,"Horror, Thriller, Action, Adventure",https://image.tmdb.org/t/p/w500/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,korean,"Gong Yoo, Kim Su-an, Jung Yu-mi, Don Lee, Choi Woo-shik, An So-hee, Kim Eui-sung, Ye Su-jeong",https://www.youtube.com/watch?v=0_sV9luPnMk,KR,118,8500000,87547518,Life-or-death survival begins.,"**Horror express.**

A week ago I saw a zombie film from Japan called 'I Am a Hero' and now this Korean. I have not seen a quality zombie film at the recent time. The second tier films like 'Cooties', 'Freaks of Nature', 'Scouts Guide...', all these were comedies. Probably 'World War Z' was the last decent zombie film I have seen and after that this is the one. So the timing of the film was anot",2026-05-08,0.02604169192238752,0.7748,-0.10118814548811036,0.48869250300623623
290098,movie,The Handmaiden,아가씨,2016-06-01,2016,8.186,4283,17.8842,"1930s Korea, in the period of Japanese occupation, a new girl, Sook-hee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to steal her fortune.",ko,"Thriller, Drama, Romance",https://image.tmdb.org/t/p/w500/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,korean,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook, Moon So-ri, Lee Yong-nyeo, Kwak Eun-jin",https://www.youtube.com/watch?v=wYsdzNIcJNc,KR,145,8575000,38600000,You're the one being tricked.,"**In the circle of romance, deceive and defraud.**

Those who are into the world cinema, particularly the Korean, knows Park Chan-wook very well. But if you don't, then you must. His films are definitely for the grown ups. Like everybody else, my admiration for his work has started a decade ago with the film 'Oldboy'. He had tried his luck in Hollywood with 'Stoker'. Despite a good entertainer, ",2026-05-08,0.027064695263103476,0.8186,-0.08459628594824417,0.7275144022731636
670,movie,Oldboy,올드보이,2003-11-21,2003,8.238,9784,16.257,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",ko,"Drama, Thriller, Mystery, Action",https://image.tmdb.org/t/p/w500/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,korean,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok, Ji Dae-han, Oh Dal-su, Lee Seung-shin, Yoon Jin-seo",https://www.youtube.com/watch?v=tAaBkFChaRg,KR,120,3000000,17500000,"15 years of imprisonment, five days of vengeance.","I’m sure that all of you can always spot a film with good acting, superb plot and great cinematography easily but when it comes to a thriller that possesses all those above quality, it would be such a rarity. OldBoy here, second installment from The Vengeance Trilogy directed by  Park Chan-wook (Sympathy for Mr. Vengeance, OldBoy, Sympathy for Lady Vengeance) really have them all, good story, powe",2026-05-08,0.024519387868588188,0.8238,-0.12587805023459012,0.7558676871176387
338803,movie,The Treacherous,간신,2015-05-21,2015,6.094,90,17.276,"The story of Joseon's tyrant king Yeonsan who exploits the populace for his own carnal pleasures, his seemingly loyal retainer who controls him and all court dealings, and a woman who seeks vengeance.",ko,"Drama, History, Crime",https://image.tmdb.org/t/p/w500/1YpS9sXZ8bRrmPwULftGbfwImnR.jpg,korean,"Ju Ji-hoon, Kim Kang-woo, Lim Ji-yeon, Lee You-young, Cheon Ho-jin, Cha Ji-yeon, Go Kyung-pyo, Seo Young-joo",https://www.youtube.com/watch?v=Vc165TX1TnE,KR,133,0,6906250,"A tyrant king, a treacherous subject, and a woman seeking revenge.",,2026-05-08,0.02611333344074347,0.6094,-0.10002620792400353,-0.4131600572391929
287649,movie,Scarlet Innocence,마담 뺑덕,2014-10-02,2014,6.1,69,13.5367,"A university professor gradually succumbing to blindness is entranced by an obsessive love, in this modern-day adaptation of a classic Korean fairy tale.",ko,"Thriller, Drama, Romance",https://image.tmdb.org/t/p/w500/ejaHQQKp5J2tD6ubprDMmIRGKnE.jpg,korean,"Jung Woo-sung, Esom, Park So-young, Kim Hie-won, Park Seo-yeon, Park So-dam, Yoon Se-a, Han Joo-young",https://www.youtube.com/watch?v=taKrznrypjE,KR,111,0,0,"Love, lust and obsession.",,2026-05-08,0.02026422580780896,0.61,-0.19489156018305806,-0.40988852437252304
